sessionid,userid,channel
4eee98e5-aa54-44fc-a347-feb397623a2a,235,Instagram
f2e2b236-9aeb-49c8-8fa1-9e9a06e8e72c,235,Organic
121fad82-8cb7-48f4-9114-1d4a211e6003,235,Youtube
b0fcfacc-2dab-4da3-b476-ff4c1afceb0f,235,Youtube
b133d8c7-26df-46d6-8473-384c8b7eab8e,235,Google
33ca6032-c7d3-408d-bbbd-afc883aefa6b,235,Organic
4a4b150b-57ec-4225-9945-2e46f27e4fc9,235,Organic
47dba6af-0914-44ce-b24c-b6411422e759,235,Youtube
1ce09dde-772a-4b6b-ab60-870b92a87890,235,Facebook
571b4360-db5a-4cb9-a7ea-c51c6eccc2db,235,Facebook
50337d85-c869-4c87-8c4d-d87d3f8bfc03,235,Facebook
6fd090d9-3522-496f-8983-424df539ea4e,235,Organic
775c533b-184b-4053-911d-429e58942135,235,Instagram
9794ffd3-199b-4f19-8470-6e8db4bd0ac0,235,Youtube
3c97fdc2-7179-4924-9ef3-d790cdaca367,235,Facebook
8d5d21d9-db4c-4f2d-9df7-06c538e1083a,235,Google
f308ffb9-2353-45f0-91cc-6459e4cbb584,235,Facebook
73d54bf6-87f4-4e9b-ab22-7e179d4fd4e7,235,Google
9d117edb-319d-4b7c-9baf-79d74b46b280,235,Instagram
5e77cf7c-edf5-41c2-aa9f-e2eb108acc92,96,Naver
dc87fbc4-ee6b-465e-9476-0c1ec4d1e6bf,96,Facebook
6f0d6139-a9b1-4560-be3d-7a13cd6a78e3,96,Naver
89087266-f2eb-4c29-84b0-f6e93209dd18,96,Instagram
fcf1681e-de0b-4cc0-93eb-e6c12ea1419e,96,Naver
46fe2e21-f1a9-4883-9220-4caedd540c18,96,Youtube
24905884-e9e1-4e1a-b707-c461b9e56935,96,Youtube
16098a38-c649-4618-9eb3-931f56b1f4fe,96,Youtube
ed42346f-535b-4d87-ac7e-79e7a70a2243,96,Facebook
96c6fe7e-f771-4601-a23b-d8947d55062b,96,Facebook
e7f0387d-2888-4482-9d18-df2d2a3f4287,96,Instagram
6d812f0a-beb0-4222-9a28-00e0a113dafa,96,Instagram
b311246f-cbf3-48c1-9ca5-f3ddcca3b9e1,908,Organic
7efc2893-d045-496a-8d44-d27867d9c3ee,908,Organic
f55c7bc1-0706-438f-a9e6-879eb956a193,908,Instagram
3f46ef04-a7cd-411f-a8fb-27aff2947671,908,Google
868538f8-183e-421b-adec-34a620b8aa8a,908,Facebook
23c8f275-4af9-4d1e-8258-548e75ef47ec,908,Naver
9e9e687e-6520-4e2b-bc01-d19bd42404c3,908,Facebook
299214e5-4ee8-44b7-bb4e-1f800480ada7,816,Naver
3432e0fe-0016-4ef7-961a-3e1e597e2f31,816,Instagram
55ea5708-f8ad-464c-addf-a34ca9628c49,816,Google
85367983-45d6-4ce3-8258-d8cf93c1e10f,816,Facebook
8a49b2a2-992a-4100-af7d-7723a40f69b2,816,Organic
a62bbdbd-b2c8-4e5f-a3c2-80c17eac97d4,816,Facebook
662a53a3-60e9-4249-ba6f-4dab0e08b985,816,Youtube
d80dbea6-8945-4a95-883f-e2be439b5cdc,816,Google
b27a7f6c-a3a1-4b15-8054-ac786ab33c19,816,Youtube
42cb80b2-e9cf-4136-9625-3224a6923158,816,Google
91b13aa7-ae44-4e55-bba8-93b18c7b511e,816,Youtube
15ac5a02-368a-4bc1-9b89-bcf0075c6691,816,Youtube
80654952-d118-4066-82db-23cf06c211f8,816,Youtube
d5fc1cf7-8c7e-4d63-8487-f73dcc1c878d,816,Youtube
