sessionid,refunded,amount
692dd3b0-51ce-48d6-891d-fa890c451147,False,99
25d17297-21c6-40fc-b72b-54890c07607d,False,138
afc6b2bf-0b03-48ab-bbdf-f4f2b5b9707c,True,103
fdc34955-316c-44f8-b075-c448ab03b8f6,False,97
e27c5ec8-4acd-458f-8299-22f8b40f8415,False,138
e7ab6e0b-0e3d-4734-a323-4bbd25b17f48,False,68
89b67cad-1127-4601-b0ce-57a5e983b6e1,False,79
b32214fa-aaa4-4472-bac3-c8b18fff35fd,False,57
50887fd9-f059-4092-81dc-85a89c6c90ef,False,147
63f15933-6c5c-44af-a6e5-09c5ffec287a,False,77
2af334bf-824d-4b70-a09b-bd0e552c5986,False,94
e73ed6e3-a8fd-4c19-a673-3886a8d95449,False,143
6a5097d1-f75e-414c-8bc2-8232e07bd03c,False,95
35280957-4645-4d54-8932-caa505e14c8a,False,56
6fd41a1c-e38a-4a07-bb5c-638c1641d6f4,False,51
1b1c0819-499f-4e14-b855-44baf99f3f24,False,116
d27e7236-dc7a-42ac-86e5-a8953b46ed19,False,93
cd9c8371-4968-4e4c-b17f-4e25945280ff,False,124
d565c263-1f0c-4b44-a9df-e9a1e89afd60,True,117
962344c8-835b-44ee-8d46-f3e9d544ce81,False,84
d51863a2-b1b2-42e9-8ba3-bf5def73986f,False,56
524a8987-7867-45b6-9206-cfca41138541,False,69
5194e890-c536-44f0-9902-0f3b9abe1a08,False,143
b196965f-75dd-48ab-99d5-046056f33e7b,False,99
eef278ce-dade-4fe5-988f-5842b6142e3b,False,50
d7ba1af6-a3ba-415e-878c-f17068f2e760,False,56
1202ca93-17d8-4cb9-9145-9354a358a214,False,125
5d89ac79-41e9-458b-a87f-cc0aabc78627,False,53
753c0ff5-4e77-4c99-a8e6-9734755484ed,False,78
63962ba4-e1fd-4160-b714-227534cf5ad6,True,68
9595247a-dc64-4203-aef6-a0cd249dc82d,False,92
8ba54bd8-557a-4eba-af57-52126db0ece6,False,92
08468282-c198-494f-896e-4caa17ff6fec,False,128
82d2c8c2-8d34-40fd-acec-44a1c0391924,False,62
026ae3ce-ccb6-4129-8a4c-25939c097c9f,False,119
cab4f063-2c6d-4859-b048-09dda072c735,False,81
077fc2c1-b4bd-419b-9276-2f127fcfbcc7,False,111
6569776e-f011-4dc1-979f-cbe3086f6e95,False,121
9722021e-2b1d-4cbf-96b9-f3144195dbc6,False,80
74381528-8993-4213-90d4-d3688b3f8917,False,79
cb7e7a81-84ce-47eb-8083-adf0598a2ca8,False,67
a02628ae-22b5-4d2d-b6d7-8a7af60b6ee8,False,118
