sessionid,userid,channel
cefc1940-c67a-4659-a26c-b7027ecab8a5,909,Google
b6a00e7d-57a0-4295-b135-dad5c43779b8,909,Google
63c49df3-e69b-4d42-8e48-580f84a42910,909,Facebook
5ebbc88e-c9b3-41c9-8232-08bcb2b70dee,168,Organic
59433dc8-d9a5-4c53-841a-4959a7ffecab,168,Youtube
4bf13762-7078-459c-893a-45c326085bbb,168,Facebook
a6e0ada9-4d9b-47fa-8af1-7941e623a379,168,Facebook
f5b2e8f3-946b-4611-8d46-6f4487ee93b6,168,Instagram
988407ca-e8be-4386-999f-c07e01dce28a,168,Google
8582782e-bbfc-420c-b880-17acf9ba2add,168,Google
361443e2-2456-48f3-a3e7-c6892342b604,168,Naver
0c9aea1f-f8b9-4aa9-82da-8fcf1900680c,168,Organic
cef0f6d1-a9bc-4204-8e1c-5ed588b39716,168,Organic
01558402-9829-4dda-943d-eb0e13dce3e3,168,Organic
b712aa9a-d252-43dd-af5d-170313f3e555,168,Youtube
8311156b-60bd-458f-9b54-6484da4dbde8,168,Google
4281bc17-66e0-42e2-981d-e9ccce617973,168,Naver
1b5a2913-6634-4874-9c0c-fb9f7afa88de,589,Facebook
c0b29a72-2609-4d45-a808-8eea624f6064,589,Youtube
ac057775-1283-4416-af47-09b485e03d1d,589,Instagram
b6641c51-934d-4dab-9770-37ef0a01cf0f,589,Facebook
f0883045-a493-4e52-86f8-5e12ec6ca42d,589,Facebook
736479c9-435a-4d85-8091-e97737879ccf,589,Instagram
4b00f59b-cbe3-4f7e-8f1e-b1aea4d2193f,589,Facebook
d0b57882-29ff-469a-89c0-2eaa13eb7afc,589,Youtube
9732e620-97ec-4cea-8387-9def13500dee,589,Naver
5eea15c4-446a-4454-8661-91f473e14bd1,589,Facebook
c7c3e2af-2bd7-436a-a306-2471583041de,589,Naver
1c3a2f72-bd68-45c6-8258-bbe3d970b9c7,589,Instagram
ced64e13-f68a-449f-8c61-5d4d13fa43a0,589,Google
525676ae-cd58-45d5-bf65-5b000652d984,589,Youtube
733fd5e6-afe7-45be-88bb-80c3d75273c9,589,Instagram
5fedaefb-45a0-4009-83c1-3e32706be890,589,Google
cf046d00-d29e-4bd8-9f8d-f52fd11ce898,589,Naver
b0d3d317-bdef-4ea7-94cc-0322e98248b0,589,Youtube
961fe104-9b4c-4e00-8167-7e5d87d91979,589,Organic
5467efbb-6b63-4b79-9fdb-719413ae7dcd,316,Instagram
e84cf9f8-7c43-47c5-85ac-ec42fa0000c6,316,Youtube
633649ed-0d38-4bac-bbc2-6749651cc97c,316,Facebook
4b27c916-876b-4db7-82ac-8c07c8463090,316,Google
e8d7aca0-6dc7-4ad8-aebe-11ede4f8878e,316,Instagram
ef71f0ca-f137-45fc-8de3-e0942af97af1,316,Google
3ab80341-351a-483e-a272-55101c389819,316,Naver
4ff28101-b1dc-4594-828f-10333bce2cb4,451,Naver
59b9f960-820b-4c0d-9376-db2226cf57f3,451,Naver
ce13bbda-5c65-496a-8b50-7e8268021f2c,451,Youtube
0d8abfcf-afd7-46a6-a712-293c72401e4c,451,Naver
f088c47d-f603-4cef-90d3-64370aad12df,451,Instagram
db7e7145-9d89-4c8a-af5d-977ec4a2ef33,451,Google
2374cede-5f7a-4ce5-86cf-2bc9cfeb8e76,451,Youtube
027b2cbf-c6e7-4985-b3e9-0a17f45bc2d5,451,Facebook
9c02a547-f3eb-4c56-9b7a-39150cc01a17,451,Facebook
82b4c5aa-7f7b-4172-95f9-8d0e5c6ea97c,451,Google
34e55d4d-5ae6-4c51-912f-0fbabb2d88e1,451,Organic
7ec56fcb-ca95-4aa7-8533-4db39e14048d,451,Facebook
bb9398f4-ebdf-4553-8153-3f3345062e9a,451,Organic
3354601d-2f64-4221-9981-d2061ead3cfd,451,Instagram
58c30534-e635-4c4f-8712-a57f18412763,451,Google
d1fb8396-3511-4bfe-bea0-1bfd80c479fb,451,Naver
7cc4b62f-466c-49cc-b0d7-446b5cdb5345,451,Instagram
6cf1087c-54ef-445a-a29f-5430bc43fc42,451,Instagram
eca109aa-faa0-4d09-8f56-6cecafb3d491,451,Google
64e33f1e-103d-4f35-bb9b-a839f4193c00,821,Facebook
7c542921-9b3f-43ce-80be-4a09b249ef75,821,Facebook
d48d4ce7-87a4-4989-b327-b92fa4b0d126,821,Facebook
7b1f2be6-b9e6-4ec2-9d74-7929add205fb,821,Google
73041f45-4e33-4237-97c2-0b7444d2a2a1,821,Google
39cc9122-12aa-4998-ad9e-1be013a6695e,821,Google
a44a1f22-c9f2-4d35-bac9-ed27616e8bea,821,Instagram
2b634c7f-6eca-4ca2-bcea-feb394f55901,821,Facebook
5044b794-24a4-4769-be5a-00b207c43fa4,821,Organic
275c0ee8-d98c-4f6f-833d-c657e82ecadb,821,Youtube
ae1b00e7-0c62-40e5-9fae-3383e4c2542b,821,Facebook
086870c4-a44c-4390-8f15-1b0f1aa2c286,821,Google
d735d42b-0a8e-4cc5-afb0-2b05f5319f82,821,Instagram
21d2a282-9cca-4dd7-b0bc-2b7c55295b5e,821,Youtube
72781799-7f01-4d51-9f2f-6e7bcd7b1d11,821,Naver
e0f3129d-ad10-46dd-b7f4-8c8c890c80f3,821,Naver
34bb3897-bfff-4f4c-9d5f-e78cc92d4053,821,Organic
df248c9e-fb01-44a7-83c0-03c2d238aa19,821,Instagram
07fdeca0-0d95-4037-b6b2-0fe02372712a,821,Naver
6d8f7aa2-2e4e-413b-9081-743bae9c25ca,821,Organic
9b01064f-ca71-4a8f-866c-24a49f0c75f0,771,Organic
62a38278-e4df-4fe5-9b06-b7400cc4a30c,771,Youtube
350b5b4f-f82e-4341-a5fb-048f27751aae,771,Facebook
82845f83-e887-4216-b7c6-f324cbad7336,771,Facebook
5edc5205-e207-49f5-bfb7-54efc4058047,771,Facebook
fb75c646-1bf2-4518-aba6-01292a30944d,771,Organic
05d94ecd-a5ea-4adb-a243-656599510cf9,771,Instagram
c79fa2f9-d3f4-4264-bb31-e2975945640c,771,Google
61246064-c15b-4692-82df-9d6fc739c45b,771,Instagram
0133fecd-2b1f-4ca7-b548-1d1f30d6f35a,771,Instagram
15e7b389-4052-49d9-8c2e-ad269070492b,41,Naver
0d252f19-8d26-4477-8850-b5a62c548c09,41,Facebook
e337e7d9-536e-4059-afd8-f36d52a1b92c,41,Youtube
1537821f-b7e9-467e-8e72-89ccf7d6961e,41,Google
9be5c057-cc9f-41d3-8d0d-a1a433dc8ae5,41,Facebook
0f0af72e-2ad9-4834-ac51-8114897b2daa,41,Facebook
eb226360-7bc2-4ac5-af39-56c20f865520,41,Google
6accd3d7-2519-4c69-9c87-265d81d4bd34,41,Youtube
f8b6e2bf-9cb0-4b44-8f7d-b78af794b941,41,Youtube
5867254a-14d0-41c3-8c37-e15be5b7a552,41,Google
0f52f9a2-7fc5-4620-85be-15a8210175d6,41,Instagram
a39628b4-c8a2-47d6-bcea-a872b68fe31e,41,Instagram
bd558878-6e23-4f42-9ae9-e1bed3da4115,41,Instagram
dd9bd4cc-1569-4428-b2b2-a1e5c41dba3d,41,Google
30586356-7c5a-45be-b82a-202ee06ac743,41,Facebook
c1e96b21-cb79-413d-b949-0856eea648c9,41,Facebook
323bfb36-9057-403d-a85d-fc49ea8f12ec,495,Youtube
2fe006e6-a485-4e02-b21f-41067cc62589,495,Google
30bf61e6-6ad0-4f20-a0aa-b19568576855,495,Naver
4607d05b-1427-4cb7-a26d-d719b157657e,495,Organic
604e3e89-9f78-4f97-b260-194804a8e344,495,Organic
4ed09e0e-a738-4bdc-a28d-b419cb0c9fed,495,Google
6dafbd3d-2a40-4698-829b-3ddf5c288928,495,Google
e80a5105-4b3c-465d-b492-a40a51f2c2e1,495,Facebook
d442a07e-6e06-4704-8257-63c8088659e4,495,Facebook
0df98869-5875-4e35-b31b-2010836e5db2,495,Naver
acdf9c31-f04d-4a78-9a41-a6fe5923402e,495,Organic
cad9dc61-9c79-4791-aff7-aebccefb3b2e,495,Facebook
33bf55a8-b464-4d8c-b83b-c7e902c6e492,495,Organic
94171d7d-acc0-45de-8bbb-a34d6c8dafd0,495,Facebook
588acf88-5761-4771-b3a0-1a9c3eba9ff2,495,Naver
d15753e5-552a-4266-bcf7-5fbc11e4965b,495,Facebook
a71d37e5-0a40-4d98-ab26-9dc4b9f351dd,495,Naver
47700cd4-b444-4d78-af3d-0aa3646a67b2,495,Google
e16c62a1-7ce6-4d66-9d4b-93edcd66c204,495,Facebook
b5b86177-c130-4752-8f4b-9b9d3da71e1b,495,Facebook
68d7d220-d962-4db2-b121-a275fe53fd68,910,Naver
68be961b-92db-44b4-9dfd-76292a052218,910,Facebook
ceadb318-67ac-4e87-9190-9689e3c64b89,910,Facebook
6e3e66aa-70cd-41ee-8d06-c31ae94944bb,910,Naver
6b462f5d-ad51-4a0a-8d6d-bc1c9ced464f,910,Instagram
c3e9dcc6-d0d9-495c-ae99-5b5ca135f92a,910,Organic
cb6a17e7-2cec-4b52-88af-e561aa75e757,910,Naver
e9c3811e-0d83-49ab-a46d-d7333f1c5f12,910,Organic
390226b1-f53f-4d1f-b8cb-e8f451956c69,910,Organic
c031192e-a2df-427c-9ed7-cda6e7dbaed9,910,Instagram
61a6bf5e-9e38-4a08-96e2-e302c547f746,910,Google
3f319c8a-81a2-4bdf-a509-12a607627506,910,Google
8a88796a-b917-4a5c-85b0-1279eeb7eae1,910,Instagram
128b8e8e-db6c-4cd4-a0a5-3d4afe85830b,910,Organic
ff9321bb-34b3-4d5e-b450-cc9ead0720b3,910,Google
6ac0c3c7-1a3c-42b1-8ec9-29f75a7a5b56,910,Instagram
34395869-324e-4ff8-9d97-4f8182237311,910,Facebook
ccb776e6-fe9e-455a-b0fc-1002474fb166,910,Youtube
c5416824-4486-4f61-97df-09dce36d5a1d,910,Facebook
536e0623-0eed-40d5-bddd-a67bf67d8a9f,255,Naver
ad50705a-a0cb-4f4f-a6d9-d9b694653b16,255,Youtube
f9e9a142-2d2c-4a31-b047-dc64b572915c,255,Naver
69429d7d-03dc-430b-aef5-7fdaf6269ab4,255,Naver
d1227af5-7a9d-4d0e-a9f7-9e30e22cba16,255,Facebook
21834396-fa39-4587-a9f1-c924fdef4da1,255,Organic
1362f165-dd4b-4286-b1e3-84e3efe16bfd,255,Youtube
bbe5a548-9d7f-45b3-9e7f-59be8b0e7e34,255,Facebook
622030ed-f578-47b7-9d54-607d3265eb4d,255,Google
c526a35d-fb55-4fad-87fb-525d8ec50bb3,255,Organic
864cc408-9d9d-4b0d-912d-2b28de250d4a,255,Instagram
7bd18e49-131c-4887-a8db-2b80df843d9b,255,Google
33b47afd-1846-458d-9a47-e8009db31508,255,Naver
8a056b75-0a42-4e63-939c-e433c4033d99,948,Facebook
2bcf77f1-b82a-4d80-a18b-c9c4388376c5,948,Organic
7d5552b3-f607-4f38-90a1-c66c2f2cb000,948,Instagram
f3b414cc-fd4b-4e77-b6f0-77d8e881b1bc,948,Facebook
8bb6480b-d1cb-4122-864f-26c5533efe2b,948,Facebook
ea9e7356-0c59-4e2b-9103-068b133d26d3,948,Facebook
3251c357-0029-4b2e-b49a-6c36deccbf72,948,Youtubefe8013ce1-6806-49a8-94cf-eaa92d408323,948,Organic
8e66f7d1-b90d-4eeb-bee7-41e2b66fc567,948,Naver
8b474f21-afa2-4f91-a430-5325a440622b,948,Instagram
202b35a2-c60b-4396-8846-b48caf1782d8,948,Organic
f05155f0-7336-4f76-b7f8-122fc6cb8c2e,948,Youtube
18382b69-c23a-4e3a-a5ef-697990ad6498,948,Facebook
fd676eb6-4afd-4b6f-b24f-17b333751add,948,Organic
8eb018ec-0751-4fe2-b2a0-007b0276deeb,948,Organic
6650cc8c-f575-418d-b7e0-e590cefa84b8,948,Organic
4f00b78f-66cc-4296-b7b3-405dc9039675,948,Organic
72b73b78-cba8-42de-a5bb-76507b0ca1ff,948,Naver
d997eb52-f1dd-4dfd-a60e-03f45c422b2d,898,Organic
ea3fd22c-b529-4326-ab9a-0b1700c44481,898,Organic
3de99a7f-d890-48f0-8b85-9efbbf674706,898,Youtube
7760ce3f-4b0a-4053-b212-648318cd032f,898,Organic
2965794f-833c-486b-a6ba-4c37b5dbe48b,898,Google
3fa88891-7871-43df-9f3f-470cb2d39f51,898,Organic
0bdd259c-6eb3-4925-abc2-0ad3c1ab173f,898,Instagram
0cfdd50d-0bc0-4c68-bb1f-65b57dabd0e4,898,Instagram
8ef49be8-6a8e-4a26-838e-35d01c345189,814,Facebook
3c79bfc4-0606-4011-b19e-2dd816fa2d61,814,Naver
9a201df4-0a68-4941-97d9-278530f4130c,814,Organic
d88e51c5-a730-4074-aa82-2f7507d988b8,814,Youtube
8907a89e-4c70-43c7-94d5-31468becb157,814,Instagram
4b894a92-087b-4f02-89aa-b0f44cb20097,814,Youtube
c97b4668-3a6c-4e79-bc17-2f9e5827c448,814,Facebook
83566e02-72e3-4a46-b410-68e09c892e4d,814,Facebook
2bc24cef-7cdf-4f63-b053-bae0d5b2a86d,814,Organic
b87a0dba-dbbb-4982-9b61-3aa2dd410d8a,814,Naver
4e98e295-e85a-437d-9e5b-5a51bd820fab,814,Organic
42d6f323-cbac-4ab8-b892-29b1e5e4d84f,814,Naver
1e9b6f41-6425-471a-b24f-0a4ec301c31b,814,Instagram
7ffb9a00-14d1-470d-9d59-f5c77adf18f6,814,Facebook
181e3833-4e7a-4e6c-bb1b-b81dafc6cac9,814,Google
3c67a644-729e-4d8b-93cb-30bd53169ef9,705,Google
bd674ac9-2ea1-4af3-9569-88a199151362,705,Youtube
72f88742-d800-47e1-be30-ca93553896ee,705,Youtube
bd6ce9b8-0154-4b6c-941f-10a75d0efb7a,705,Organic
912aab2b-20dc-40e4-88cf-8cd714748cdb,705,Facebook
4e503335-3444-4030-a496-acb0cb319346,705,Youtube
f4eca355-97c6-4a39-a5e6-6ca88948a827,899,Google
bee34c6a-7929-4004-87b1-cba0b5f5c4cc,899,Naver
5cf15771-8832-4687-b5e1-65428e643d9a,899,Facebook
27e82480-2414-448b-becf-48cb4e0fdbb1,899,Youtube
0313a730-2de2-41b7-9a95-ff19ee7a5f7d,899,Instagram
6af198e7-9d9f-4777-a0d6-0637c0e9bd23,899,Youtube
c03da43d-96ea-475a-8dc0-a535dd8bf626,899,Google
72ac4e16-8cc7-4230-8ea7-1613844e9898,899,Naver
5036009f-09c7-4795-abc4-77d52a34dc71,899,Naver
cbe33d73-d91b-43d6-b859-1896992906c1,899,Instagram
28a19e97-ec76-4e6f-ab9d-0dd2faa4e723,899,Instagram
aed2c0b4-841f-41db-962d-57add930b33c,899,Google
c199989b-dd2c-4c73-bb81-a939a46e7181,899,Instagram
05e45e1e-9faf-46dc-b85c-07e8c1658e30,899,Naver
602f4f2d-9e44-4637-a9d3-609ec0aa1fee,951,Instagram
8f797666-85ff-4b73-86c0-8e377243a3cf,951,Naver
08ef6489-0ab9-4c21-b1c1-ae7765116847,951,Organic
7f79fd74-f3f3-43f4-9a35-fca59cebc895,951,Instagram
d688f0b9-aea7-432f-851d-966c1f4562d8,951,Organic
01cad348-e375-4c80-8e1a-dbc240329801,951,Naver
b8db8488-6468-4871-9787-b7ac5a6dde66,951,Naver
8f285002-5769-4599-aead-1fceb1888ab1,951,Youtube
0f4645fc-ccec-4932-9f7f-021c4f1e0dc7,951,Organic
6e13aa35-babd-44b6-8419-c7db9713b875,951,Facebook
fd005065-aa44-4de2-8c56-283f919cdec0,951,Google
3ba0db48-11e5-4248-8d47-6c5b9b130b93,951,Instagram
3250a69b-bfdb-4566-9ade-7f1dd1ae7717,951,Naver
d1222d09-5cfe-4ad6-952f-f722f0161fbd,951,Youtube
6f652ee7-0a41-44f7-9a65-85ccad2aa43e,951,Youtube
99706fee-3e16-44e1-aee8-6fef1244a522,951,Naver
5dc471cb-179f-4ed4-95f3-6bf8a4435e1d,951,Organic
5e02b90a-3c76-4e72-a9a2-a68e976ff443,951,Instagram
6e3598ea-4327-49ce-b22f-3e234e789005,473,Naver
aafe974a-6020-437e-80ca-26e994c1eccd,473,Facebook
59fefbe2-3a91-4d18-aead-85a36604837f,473,Instagram
2f5b5903-177c-4d99-8815-6d4089154a8b,473,Instagram
2d74b363-398e-4b0a-8411-dcd6a45bdfd0,473,Facebook
64d2c557-1bc9-4c84-818a-e083acf01fc4,473,Instagram
de810ae7-e36e-42a8-a828-4a908b7b24fb,473,Facebook
d9312276-6a63-4036-a9c2-8415a1232e49,473,Instagram
d638c0c8-6a51-4336-882c-17f14bc4f497,473,Organic
c7d8c036-05f4-46a0-bcd1-1023a8feb5b2,350,Naver
b0d4317a-fa17-443e-adc6-7e59b186c64a,350,Organic
cc46dd42-bb8f-4d8a-811f-4b8e8a1c6f30,350,Naver
dd76d790-7d9d-4950-be5a-ebdfcbbae027,350,Google
bf7fd4c1-51cf-46e9-b314-32ec0ce7f041,350,Facebook
b65b88f3-51f4-4b26-86b5-8bf2e5975e60,350,Naver
3f981b6d-0f16-49a9-98aa-dbc2d98c61f6,350,Google
d42c0545-2c28-4f3d-8356-9bc7b7c2edd5,350,Instagram
b5dc73b8-411c-4ce2-a156-d235ebaa9326,350,Naver
46bcb304-760e-4435-9fe0-58819624a6d1,350,Organic
93d16221-5eed-415d-b2fd-13a66f00f628,350,Naver
cba94859-8d91-4411-9d1f-abf24953e82c,350,Instagram
03a09d59-4783-4891-b42a-94b164fdd9f7,350,Instagram
0a74fb16-beac-4e46-b8f0-326916b5711b,350,Facebook
10cc1c33-54af-48a4-9c27-d113961648fb,350,Google
052a44f5-277e-42a6-ae6a-2dd406b55260,350,Naver
15b9e4c1-933d-4b00-aad0-43a663d1eb9a,350,Instagram
a7fd8714-e536-44d5-bf8c-6b710a84827f,350,Youtube
4a516860-e4ff-4665-afa8-ad0dde9d96ac,737,Facebook
6a7dbca4-4bf5-44a9-b3ff-895d81406ea3,737,Facebook
cf042cf8-e1b0-4d48-a924-0f0c4a734570,737,Naver
f1f53402-1693-4ce4-956f-be2589464c09,737,Naver
464cad07-9fef-44d2-b4fe-8f4279502ff4,737,Google
a1ce60c2-bb40-45c8-801b-9c21c562480d,737,Google
4edd23c1-2625-4ea2-bc5c-43a055c20f1c,737,Naver
49be54fe-2d3c-4360-8a97-f069ec724840,827,Google
1887746f-22bb-42fe-b0ea-262b416a270c,827,Instagram
fdcb0ceb-4377-4c09-85e2-9f51944a1b1f,827,Organic
6ad2ef7c-9c5c-46d2-a4a0-029c9f766de4,827,Instagram
d80cb161-b7fc-4a0c-be34-a27450a9a4fd,827,Organic
f78a1c74-3277-43c8-bfa6-c34de27b9250,827,Facebook
41ae281b-77da-49ca-9ef2-f7ffdde92d44,827,Organic
9bdc1aff-75ab-4636-806e-926147c71e93,827,Naver
27b6d891-7c92-4c68-b2f9-b8b4019a2ee2,827,Youtube
d8d42110-64b0-4cad-9871-cf30348b3378,827,Facebook
ae5a0545-2ea6-4928-81d4-b704cbf8e2df,827,Facebook
7e08c25d-420c-4a00-8d43-5fc0251e1901,827,Naver
d1f8f2ac-5484-4b2e-9768-84004f3cd9ec,827,Youtube
8df827fd-24fd-4e24-9361-652881a563e7,827,Youtube
94c5b8af-c857-4709-8282-36da7c943494,827,Naver
e0d7cdc4-7d84-4df1-976b-a0533b867fb4,827,Youtube
5b11be01-d4cf-436d-a131-d52afd2a37bc,827,Youtube
63a24225-6928-481b-b8b1-0ce48fc2fca1,651,Organic
da7f1b25-ac52-4aaf-81bb-da6d08fc0fd8,651,Organic
f7f5bf7f-9541-460f-8cdf-f8eec571e89e,651,Facebook
e7826acc-8e86-4cc6-9c10-8a8460b6f6e9,651,Google
8de77078-ca89-4933-be0e-890834914d5f,651,Naver
5b3d7a72-3a1d-495f-a9c4-b402d98d22c0,651,Instagram
fb859721-1533-4fd7-b421-19ad2420d55b,651,Youtube
853becb1-9850-4e05-9cef-59a8be3df2ad,651,Youtube
feae4377-81b3-4665-9219-943d0041ad24,651,Google
11625d84-f254-4b8e-ae62-80b25ff1543a,651,Naver
cf5c5a33-d697-4f9d-93f8-b3dc407bbbba,651,Naver
8aa226c1-dc54-448e-83fc-86521412c298,651,Organic
61b13c98-f98e-4f5a-bd48-729001978622,651,Facebook
c410512b-2cf5-4c40-acd5-103811fbc2f0,651,Facebook
42d81bf5-8128-4e70-9060-dca1d799be2f,651,Google
759430cf-7ae0-4d43-84b3-f219a961f375,651,Instagram
53ea6263-e174-461b-ab82-a4ccac65a41e,651,Instagram
a504e77b-75a2-4077-b621-b2fc7eb11b0c,651,Naver
ba334eb7-4c46-4c23-b1c5-6365ef3527cc,651,Google
ca1cd9ef-a4be-4dfa-b70d-dc10458eb4ef,651,Naver
b588e171-64fe-42a9-8e9e-77d9a7e509ae,2,Organic
eafc6666-39d4-4733-ad9c-1c654802a18f,2,Naver
cf7490c1-01b8-41df-8190-33ce6273f362,2,Youtube
659c2d4b-7ed7-4a92-a7f8-1349374f19ba,2,Naver
9e0a0ac0-3f35-49d7-b695-e70326b59f8d,2,Organic
21678e36-9ba0-49e0-8609-82b861aaebe5,2,Google
fdcda2b8-581c-4217-a94e-1c8d19cce4a9,2,Organic
c53c023d-993a-489a-92f8-f6eafb03143f,2,Youtube
d2119527-fbae-4678-87bc-c092f8953b98,2,Youtube
19a6f65e-683a-44ea-a5e8-18ef869fc844,979,Youtube
e08aede3-3d0b-4258-9eec-b71bf7babb75,979,Google
87c64fcb-9845-48a6-9e2e-b1db5344c824,979,Youtube
a7041e87-ea87-4c4c-89fc-de6b5d5c4b75,825,Naver
ca9db0e0-ded2-4b1a-8d3c-a495f85682d4,825,Youtube
75fdc47c-327b-4b5a-a442-133437693dae,825,Instagram
96b54412-4cd0-4519-b0e5-31467752869e,825,Facebook
2b2675cb-7cb1-475b-977a-2a6f4c36511d,825,Google
18aafef9-6d85-4a9b-8f5e-4029388619dd,164,Youtube
f54043bb-70c4-478f-b8a4-1125b3b4153d,164,Google
f8147d3f-e066-4631-adf4-c697c8f1caf5,164,Youtube
af8733c8-7db7-4806-b3f0-bc1d063a7232,164,Naver
7a5f3fb8-26e9-4744-aa29-8a445f2e9be5,164,Google
1b1f243c-8a65-4922-bb60-34999169eb0d,164,Youtube
3635dd0e-101e-4153-a443-ec7a6b9d45bc,164,Facebook
e9420107-067f-46a1-a1d1-fc0f81cad706,164,Naver
9ad651a1-197b-460c-9748622c244c-76cd-401b-82eb-37b4d5848c16,946,Youtube
222f4c99-b491-40be-b0f0-21d79b1aa945,946,Naver
e0e4eeaa-84c5-484a-b53e-fc26090106cd,946,Instagram
2167c68a-b120-4685-ad7e-29b3bd622085,946,Google
63d39dde-d5e9-4b46-a846-358e243d5a7b,946,Google
9544d60e-3594-41b3-8922-e6f173dc3938,946,Google
bc631c67-672d-46a8-ad70-03405f2d4b69,946,Naver
08c29c53-f0f2-442b-8100-3d119b573d08,946,Naver
965f64cd-93b5-4c1a-aacf-7707f735e45f,946,Naver
853d1222-97c7-4c34-a679-9abd3df79940,946,Facebook
8ff32a86-8b6f-427d-9be4-6bc8fdfb1ad2,946,Instagram
3ce08ad3-3553-483c-ba4a-4145267fb8d9,946,Naver
67b5bcb6-3bdd-44df-89c2-12edec24ba79,439,Instagram
677a2b00-ade0-4009-aff9-2d0fc8eb67e7,439,Google
f32ee262-bbdc-49cf-ac7a-1f576ab621e6,439,Google
da68819c-1dcb-4b44-b1b5-b82247455471,439,Youtube
17d8e63b-b0bc-40de-a94f-ccecba52b9c6,439,Naver
98e1433d-c692-4e31-bf60-ee2ca31518b5,439,Instagram
a4ce28ef-29e6-4996-9266-1ce824189266,195,Naver
833a8e59-6e04-43ad-8cb2-a6e2ef0de72f,195,Naver
6ecea4fb-c078-4fdf-bfa8-972d8b879690,195,Youtube
338bb8eb-054d-42ae-9f61-0b3bd51b4e90,195,Facebook
ba82d08c-f933-4f4b-ae01-b4b8388fd321,195,Youtube
83aa52d2-53e1-423c-baf5-f624a25f7c2b,195,Google
a25e79ad-dbe7-456f-bb07-c47a1ac912dc,235,Organic
a07a617f-c069-422e-a860-d4a60c1899e5,235,Naver
1c6818e5-254a-480d-af27-bb36533a2272,235,Naver
171a49af-269b-4dec-b221-a1dcf527f27f,235,Google
2ae2b807-5c6c-484f-80a3-95f74fb87335,235,Youtube
69a0b6e7-6c71-4f48-afd4-411b1e3e5700,235,Instagram
